title,channel_name,원곡명,아티스트
Final Call,milet - Topic,Final Call,milet
Extinction,THORNAPPLE - Topic,Extinction,THORNAPPLE
moon,NEK! - Topic,moon,NEK!
정류장,HANRORO - Topic,정류장,HANRORO
Sprout,LUCY - Topic,Sprout,LUCY
sitcom,IT'S - Topic,sitcom,IT'S
ロンリー (SHUTTLE ver.),FINLANDS - Topic,ロンリー,FINLANDS
Haze,LUCY - Topic,Haze,LUCY
Life is beautiful,BiSH - Topic,Life is beautiful,BiSH
Song Runs Like a Light (노래는 불빛처럼 달린다),Release - Topic,노래는 불빛처럼 달린다,Release
天使になったら,Kako Fujita - Topic,天使になったら,Kako Fujita
You're right,LUCY - Topic,You're right,LUCY
What's my name,Ayumikurikamaki - Topic,What's my name,Ayumikurikamaki
switch,yummy'g - Topic,switch,yummy'g
Antifreeze,Yerin Baek - Topic,Antifreeze,Yerin Baek
Our Voyage,QWER - Topic,Our Voyage,QWER
forgetmenot,Emma Boop - Topic,forgetmenot,Emma Boop
エキスパート,Natural Lag - Topic,エキスパート,Natural Lag
Night View,TOUCHED - Topic,Night View,TOUCHED
exchange - student,Kim Seung Joo - Topic,exchange - student,Kim Seung Joo
When I move,KARDI - Topic,When I move,KARDI
파란,Zivenew - Topic,파란,Zivenew
Skybound,Younha - Topic,Skybound,Younha
Farewell for now!,JO YURI - Topic,Farewell for now!,JO YURI
Scenario,소년:달 - Topic,Scenario,소년:달
19,FAITH - Topic,19,FAITH
Zombies Need Glasses,Harukatomiyuki - Topic,Zombies Need Glasses,Harukatomiyuki 
Shine,RêRA - Topic,Shine,RêRA
Shura,Yorushika - Topic,Shura,Yorushika
8gatsu31nichi,culenasm - Topic,8gatsu31nichi,culenasm
Our Goodbye,HANRORO - Topic,Our Goodbye,HANROR
We′re no different,UmYull - Topic,We′re no different,UmYull
Tricky,MRCH - Topic,Tricky,MRCH
新迷宮,FINLANDS - Topic,新迷宮,FINLANDS
Monsoon,Ha Hyun Sang - Topic,Monsoon,Ha Hyun Sang
I Got U,LUCY - Topic,I Got U,LUCY
COMPASS,YdBB - Topic,COMPASS,YdBB
Fireworks,IT'S - Topic,Fireworks,IT'S
Madder,Yorushika - Topic,Madder,Yorushika
Flare,LUCY - Topic,Flare,LUCY
Sorrow at my door (Prod. ROCOBERRY),Nam Gyu ri - Topic,Sorrow at my door,Nam Gyu ri
Regret,TOUCHED - Topic,Regret,TOUCHED
FEEL(feat.chancellor) (FEEL(FEAT.CHANCELLOR)),Younha - Topic,FEEL,Younha
RUNAWAY (feat. Ha Hyun Sang),YdBB - Topic,RUNAWAY,YdBB
LOVE THING (LOVE THING),woo!ah! - Topic,LOVE THING,woo!ah!
New York (Feat. 볼빨간사춘기) (D-day Ver.),WH3N - Topic,New York,WH3N
Ending,LUCY - Topic,Ending,LUCY
Good Luck To You,ChoiS - Topic,Good Luck To You,ChoiS
뒤에서 걸을게,Vanilla Acoustic - Topic,뒤에서 걸을게,Vanilla Acoustic
Shame,ChRocktikal - Topic,Shame,ChRocktikal
Blue Turns Pink,Stella Jang - Topic,Blue Turns Pink,Stella Jang
end of love,Kani - Topic,end of love,Kani
Dreams,LEEBADA - Topic,Dreams,LEEBADA
LIGHT,YdBB - Topic,LIGHT,YdBB
Step,Miyumin - Topic,Step,Miyumin
seimei,Shiro Yunogi - Topic,seimei,Shiro Yunogi 
Suiryu No Rock,DAZBEE - Topic,Suiryu No Rock,DAZBEE - Topic
FantasticYouth - 「Space Saver」 (Lyric Video),FantasticYouth,Space Saver,FantasticYouth
The Night of the World (이세계밤),Saebit - Topic,이세계밤,Saebit
霽れを待つ(Orangestar) / Hebi. cover,Hebi.,霽れを待つ,Orangestar
曲名はまだないです,Aogumo - Topic,曲名はまだないです,Aogumo
Koshaberibiyori,FantasticYouth - Topic,Koshaberibiyori,FantasticYouth
'Til We Meet Again,aespa - Topic,'Til We Meet Again,aespa
Perfect Timing,Kim Marie - Topic,Perfect Timing,Kim Marie
널 생각해 (Prod. by 이찬혁 of 악동뮤지션) Think About You (Prod. by LEE CHANHYUK of...,Younha - Topic,널 생각해,Younha
Moonlight Afterimage,Saebit - Topic,Moonlight Afterimage,Saebit
Drowning In The Blue,DEW - Topic,Drowning In The Blue,DEW
bleu,LUCY - Topic,bleu,LUCY
SAY!,IT'S - Topic,SAY!,IT'S
해초,HANRORO - Topic,해초,HANRORO
How To Go On,HANRORO - Topic,How To Go On,HANRORO
마치 흘러가는 바람처럼 Like a Flowing Wind,DAY6 - Topic,마치 흘러가는 바람처럼,DAY6
Snake,Yorushika - Topic,Snake,Yorushika
Lonely,Younha - Topic,Lonely,Younha
Cherry Painted Eyes,MRCH - Topic,Cherry Painted Eyes,MRCH
Happy now?,IT'S - Topic,Happy now?,IT'S
금붕어,HANRORO - Topic,금붕어,HANRORO
Attention! (케이프 혼),Younha - Topic,케이프 혼,Younha
"Ready, Get Set, Go! (Ready, Get Set, Go!)",LUCY - Topic,"Ready, Get Set, Go!",LUCY
Last Day,TOUCHED - Topic,Last Day,TOUCHED
"Tomorrow, Promise",UmYull - Topic,"Tomorrow, Promise",UmYull
Attention,YdBB - Topic,Attention,YdBB
청운,DALDAM - Topic,청운,DALDAM
Dear.him & her,IT'S - Topic,Dear.him & her,IT'S
Candle,TOUCHED - Topic,Candle,TOUCHED
It hurt too much to say it′s love,Hyebin - Topic,It hurt too much to say it′s love,Hyebin
Ashes,HANRORO - Topic,Ashes,HANRORO
Antmill (죽음의 나선),Younha - Topic,죽음의 나선,Younha
You & Me,Park Soeun - Topic,You & Me,Park Soeun
A New Chapter,LUCY - Topic,A New Chapter,LUCY
추억 속의 그대 (추억 속의 그대),Dragon Pony - Topic,추억 속의 그대,Dragon Pony
BURN,YdBB - Topic,BURN,YdBB
Between Love and Goodbye,Jae Woo AN - Topic,Between Love and Goodbye,Jae Woo AN
Flashback (Flashback),N.Flying - Topic,Flashback,N.Flying
20s,YdBB - Topic,20s,YdBB
7. 바다아이,Younha - Topic,7. 바다아이,Younha
Become,Hebi - Topic,Become,Hebi
그게 너의 사랑인지 몰랐어 didn’t know,DAY6 - Topic,그게 너의 사랑인지 몰랐어,DAY6
Echoes of You,LUCY - Topic,Echoes of You,LUCY
Blue Rock,DALDAM - Topic,Blue Rock,DALDAM
41th (SungKyu Solo) (OGS Live Ver.) (41일 (SungKyu Solo) (OGS Live Ver.)),INFINITE - Topic,41일,INFINITE
"This Summer, Summer",SORAN - Topic,"This Summer, Summer",SORAN
"해야 뜨지 말아 줘 Sun, Stay Asleep",DAY6 - Topic,해야 뜨지 말아 줘,DAY6
TOXIC,OMEGA X - Topic,TOXIC,OMEGA X
In a Rush (Feat. Wonstein),LUCY - Topic,In a Rush,LUCY
"7 o'clock (KUNHO, YOUMIN, MINJE, ON:N)",ALL(H)OURS - Topic,7 o'clock,ALL(H)OURS
"Lee Know ""Love me or Leave me"" Cover (원곡 : DAY6) | [Stray Kids : SKZ-RECORD]",Stray Kids,Love me or Leave me,DAY6
DON'T FORGET (잊지마요),iKON - Topic,잊지마요,iKON
Because It's You (너라서),ASTRO - Topic,너라서,ASTRO
Surfing in the Moonlight,TOMORROW X TOGETHER - Topic,Surfing in the Moonlight,TOMORROW X TOGETHER
크림소스 파스타,Younha - Topic,크림소스 파스타,Younha
오늘의 나에게,Jin - Topic,오늘의 나에게,Jin
Young K - SOUL (Feat. CHOILB) (Official Audio),DAY6,SOUL,DAY6
First Love (첫사랑),LUCY - Topic,첫사랑,LUCY
Plover,Yorushika - Topic,Plover,Yorushika
엉뚱한 상상 White Christmas,SUPER JUNIOR - Topic,엉뚱한 상상,SUPER JUNIOR
마라톤 Marathon,DAY6 - Topic,마라톤,DAY6
123-78,BOYNEXTDOOR - Topic,123-78,BOYNEXTDOOR
Photobook,Stray Kids - Topic,Photobook,Stray Kids
Light UP (Light UP),LUCY - Topic,Light UP ,LUCY
Leave It (놔 (Leave It)),N.Flying - Topic,놔,N.Flying
별들 앞에서 Before the Stars,DAY6 - Topic,별들 앞에서,DAY6
너라는 정원 (Garden of You),Fantasoner - Topic,너라는 정원,Fantasoner
제4의 벽,Dovlvl - Topic,제4의 벽,Dovlvl
Once Again (Once Again),"EJAE, Joo Hee(주희) - Topic",Once Again,주희
사랑하게 될 거야,HANRORO - Topic,사랑하게 될 거야,HANRORO
No Blame (널 미워하지 않길),Kim Na Young - Topic,널 미워하지 않길,Kim Na Young
Love Is Enough (Original),PLAVE - Topic,Love Is Enough,PLAVE
Summer Was You,H1-KEY - Topic,Summer Was You,H1-KEY 
Firefly (Firefly),N.Flying - Topic,Firefly,N.Flying 
Journey,TOUCHED - Topic,Journey,TOUCHED
Suddenly,I.O.I - Topic,Suddenly,I.O.I
Only For You,MRCH - Topic,Only For You,MRCH
비밀번호 486 (비밀번호 486),Younha - Topic,비밀번호 486,Younha
My Flower,레이디스 코드 (LADIES` CODE) - Topic,My Flower,레이디스 코드
진짜일 리 없어,Jeong Hee Lim - Topic,진짜일 리 없어,Jeong Hee Lim
Real Love,YUJU - Topic,Real Love,YUJU
Unwanted,Ellui - Topic,Unwanted,Ellui
Lunar phase (월령 月齡),Lucia - Topic,월령,Lucia
한 우산 아래,Younha - Topic,한 우산 아래,Younha
As It Goes,Elaine Kim - Topic,As It Goes,Elaine Kim
Missing Call (Feat. SURAN),LUCY - Topic,Missing Call,LUCY
Like Nothing (없던 일처럼),Younha - Topic,없던 일처럼,Younha
FLY,YdBB - Topic,FLY,YdBB
The Way,12Wol - Topic,The Way,12Wol
When This Rain Stops,WENDY - Topic,When This Rain Stops,WENDY
그대에게 닿을 수 있다면 (If I Could Reach You),Chita - Topic,그대에게 닿을 수 있다면,Chita
Thanks to you,Kim Yooan - Topic,Thanks to you,Kim Yooan
Haven,Dark Moon - Topic,Haven,Dark Moon
HANABI (feat. 임가영),ByssBlue - Topic,HANABI ,ByssBlue 
Masquerade,Aalia - Topic,Masquerade,Aalia
A Little Closer (MOCA),UR:L - Topic,A Little Closer,UR:L
너를 보는게 지친 하루에,Ha Yea Song - Topic,너를 보는게 지친 하루에,Ha Yea Song
RETURN (환),Saebit - Topic,환,Saebit
LOVE SONG,YdBB - Topic,LOVE SONG,YdBB
The only scent,MRCH - Topic,The only scent,MRCH
Devilishness,Yorushika - Topic,Devilishness,Yorushika
Gossip Boy (Gossip Boy),Younha - Topic,Gossip Boy,Younha
Narcissus,IT'S - Topic,Narcissus,IT'S
Post spring,Yorushika - Topic,Post spring,Yorushika
Blue Rock,IT'S - Topic,Blue Rock,IT'S
Anemoia (아네모이아),Saebit - Topic,아네모이아,Saebit
청춘서약 (Youth Promise),QWER - Topic,청춘서약,QWER
蝶々結び (Aimer) ／ダズビー COVER,DAZBEE official,蝶々結び,Aimer
OVERCLOCK,Hebi - Topic,OVERCLOCK,Hebi
Wind;Decoy,UmYull - Topic,Wind;Decoy,UmYull
Hi!,MRCH - Topic,Hi!,MRCH
Expression of Love (Our Secret Diary X LUCY) (애정표현 (말하고 싶은 비밀 X LUCY)),LUCY - Topic,애정표현,LUCY
Inverse,UmYull - Topic,Inverse,UmYull
Hitchcock (Re-Recording),Yorushika - Topic,Hitchcock,Yorushika
"Highlight (반짝, 빛을 내)",Younha - Topic,"반짝, 빛을 내",Younha
초행길 The Road,WENDY - Topic,초행길,WENDY
apple,IT'S - Topic,apple,IT'S
Home,Younha - Topic,Home,Younha
MOON,Saebit - Topic,MOON,Saebit
Be I,Hebi - Topic,Be I,Hebi
See You (다음에 봐),Younha - Topic,다음에 봐,Younha
Someday (Someday),Younha - Topic,Someday,Younha
Forest,IT'S - Topic,Forest,IT'S
Aporia,Yorushika - Topic,Aporia,Yorushika
毒回り,harenuki - Topic,毒回り,harenuki
By the Water's Edge,YdBB - Topic,By the Water's Edge,YdBB
BLEACH!,Saebit - Topic,BLEACH!,Saebit
Snow Flower,Snow Flower,Snow Flower,IT'S
The flowers are also noisy,Yorushika - Topic,The flowers are also noisy,Yorushika
Rescue Me,DAY6 - Topic,Rescue Me,DAY6
무궁화 꽃이 피었나,MRCH - Topic,무궁화 꽃이 피었나,MRCH
GO,LUCY - Topic,GO,LUCY
Silvering (은화),Younha - Topic,은화,Younha
Sun,Yorushika - Topic,Sun,Yorushika
Plan for You,AB6IX - Topic,Plan for You,AB6IX
Because,ASH ISLAND - Topic,Because,ASH ISLAND
Shooting Star (Shooting Star),N.Flying - Topic,Shooting Star,N.Flying
Pathetic love (Childish ver.),LUCY - Topic,Pathetic love,LUCY
First Time,DAY6 - Topic,First Time,DAY6
Oh my hero,Sweet Revenge - Topic,Oh my hero,Sweet Revenge
GET LUCKY!,YdBB - Topic,GET LUCKY!,YdBB
East wind (새녘바람),Younha - Topic,새녘바람,Younha
sagittarius,kurayamisaka - Topic,sagittarius,kurayamisaka
But I Have an AC (Feat. Kyly),015B - Topic,But I Have an AC ,015B
リプレイ,akuruyo-sheep - Topic,リプレイ,akuruyo-sheep
眷戀,DIZLIKE - Topic,眷戀,DIZLIKE
Love is fuck,IT'S - Topic,Love is fuck,IT'S
Groan,Yorushika - Topic,Groan,Yorushika
아쉬운 모양,MRCH - Topic,아쉬운 모양,MRCH
ROSY,MRCH - Topic,ROSY,MRCH
Wa;volution,UmYull - Topic,Wa;volution,UmYull
言って。,Yorushika - Topic,言って。,Yorushika
Kamisama,Gestalt Girl - Topic,Kamisama,Gestalt Girl
Bae,IT'S - Topic,Bae,IT'S
HAPPY,DAY6 - Topic,HAPPY,DAY6
.,YdBB - Topic,.,YdBB
emo girl,IT'S - Topic,emo girl,IT'S
Sub Character,Younha - Topic,Sub Character,Younha
Voice,Yorushika - Topic,Voice,Yorushika
Sunlight,MRCH - Topic,Sunlight,MRCH
Ticket,IT'S - Topic,Ticket,IT'S
엔딩. (Feat. Saebit),Miiro - Topic,엔딩.,Miiro
DROP,YdBB - Topic,DROP,YdBB
Rolling Rolling,LUCY - Topic,Rolling Rolling,LUCY
Anxiety tree,MRCH - Topic,Anxiety tree,MRCH
go (Feat. Naivesign),IT'S - Topic,go,IT'S
Round of Applause,Release - Topic,Round of Applause,Release
안녕 Goodbye,DIA - Topic,안녕,DIA
Gravity in the Wind,Hebi - Topic,Gravity in the Wind,Hebi
I Like You,MRCH - Topic,I Like You,MRCH
Part of cloud (구름의 그림자),Younha - Topic,구름의 그림자,Younha
PLAY,LUCY - Topic,PLAY,LUCY
Under the Sun,Boramiyu - Topic,Under the Sun,Boramiyu
Lilac,IT'S - Topic,Lilac,IT'S
날씨가 미쳤어,LUCY - Topic,날씨가 미쳤어,LUCY
Into You (네가 내 마음에 자리 잡았다 (Into You)),N.Flying - Topic,네가 내 마음에 자리 잡았다,N.Flying
"More and More (From ""Love Scout"" : Original Soundtrack)",MRCH - Topic,More and More,MRCH
Wish (물의 여행),Younha - Topic,물의 여행,Younha
大鬱警報,Aogumo - Topic,大鬱警報,Aogumo
Blue heart,MRCH - Topic,Blue heart,MRCH
Wake Slow,Hebi - Topic,Wake Slow,Hebi
Hello(feat.pH-1) (종이비행기(HELLO)(FEAT.PH-1)),Younha - Topic,Hello,Younha
Blue Voyage,LUCY - Topic,Blue Voyage,LUCY
Fooled by forever,MRCH - Topic,Fooled by forever,MRCH
Kaze (바람),Younha - Topic,바람,Younha
Zombie,DAY6 - Topic,Zombie,DAY6
Bed (Prod. Architectures),IT'S - Topic,Bed,IT'S
Maze (Feat. Saebit),Miiro - Topic,Maze,Miiro
Love is a magic,MRCH - Topic,Love is a magic,MRCH
WINTER FLOWER(Feat.RM) (WINTER FLOWER(雪中梅)(Feat.RM)),Younha - Topic,WINTER FLOWER,Younha
Parade (PARADE),Younha - Topic,PARADE,Younha
ループザルーム,rusino - Topic,ループザルーム,rusino
Behind The Shine,RIIZE - Topic,Behind The Shine,RIIZE
LETTER,YdBB - Topic,LETTER,YdBB
Villain,LUCY - Topic,Villain,LUCY
Love You Like That (Love You Like That),N.Flying - Topic,Love You Like That,N.Flying
My Secret Story (너만 모르는 나의 이야기 (My Secret Story)),AxMxP - Topic,너만 모르는 나의 이야기,AxMxP
Better Better,DAY6 - Topic,Better Better,DAY6
I'll Find You,LUCY - Topic,I'll Find You,LUCY
그대로 와 줘요 come as you are,Young K - Topic,그대로 와 줘요,Young K
아직은 낭만,MRCH - Topic,아직은 낭만,MRCH
want to love you,Young K - Topic,want to love you,Young K
All Ages,LUCY - Topic,All Ages,LUCY
"Night, night",YdBB - Topic,"Night, night",YdBB
베스트 송 best song,Young K - Topic,베스트 송,Young K
Line of us,O.O.O - Topic,Line of us,O.O.O
Fly Up (날아올라),YEGNY - Topic,날아올라,YEGNY
꿈꾼 Dreamer,Young K - Topic,꿈꾼,Young K
"Spring Breeze, Again",Wanna One - Topic,"Spring Breeze, Again",Wanna One
이것밖에는 없다 nothing but,Young K - Topic,이것밖에는 없다,Young K
Right Now,Band Nah - Topic,Right Now,Band Nah
Unbelievable,LUCY - Topic,Unbelievable,LUCY
For Your Own Good,Jae Woo AN - Topic,For Your Own Good,Jae Woo AN
let it be summer,Young K - Topic,let it be summer,Young K
ACACIA,IT'S - Topic,ACACIA,IT'S
Hero,LUCY - Topic,Hero,LUCY
First Love (First Love),Han Yo Han - Topic,First Love,Han Yo Han
Bungee Jumping,Young K - Topic,Bungee Jumping,Young K
항복,MRCH - Topic,항복,MRCH
Pathetic love,LUCY - Topic,Pathetic love,LUCY
Microphone (Feat. 다운(Dvwn)),Young K - Topic,Microphone,Young K
Green we shared,MRCH - Topic,Green we shared,MRCH
Why you hate…,LUCY - Topic,Why you hate…,LUCY
Young K - “Text Me Now” Official Audio,DAY6,Text Me Now,DAY6
"HAN, Seungmin ""Congratulations"" Cover (원곡 : DAY6) | [Stray Kids : SKZ-RECORD]",Stray Kids,Congratulations,DAY6
natural,Young K - Topic,natural,Young K
Though we have the earth,MRCH - Topic,Though we have the earth,MRCH
wave,IT'S - Topic,wave,IT'S
Little Star,LUCY - Topic,Little Star,LUCY
what is..,Young K - Topic,what is..,Young K
Fall in love with you,Daybreak - Topic,Fall in love with you,Daybreak
오늘만을 너만을 이날을 waited,Young K - Topic,오늘만을 너만을 이날을,Young K
Dark Cloud (먹구름),Younha - Topic,먹구름,Younha
Are You There?,Band Nah - Topic,Are You There?,Band Nah
She,Hebi - Topic,She,Hebi
The knight who can't die and the silk cradle,LUCY - Topic,The knight who can't die and the silk cradle,LUCY
Addiction,TOUCHED - Topic,Addiction,TOUCHED
Your Name,Kim Marie - Topic,Your Name,Kim Marie
Interstellar Flight,Saebit - Topic,Interstellar Flight,Saebit
토끼 (tokki),Woo Yerin - Topic,토끼,Woo Yerin
Over The Dream,YdBB - Topic,Over The Dream,YdBB
childhood of the sea (Feat. sowoon),IT'S - Topic,childhood of the sea,IT'S
Welcome to the Show,DAY6 - Topic,Welcome to the Show,DAY6
BIG PICTURE (나는 계획이 있다),Younha - Topic,나는 계획이 있다,Younha
Flowering Plant,Adios Audio - Topic,Flowering Plant,Adios Audio
Make One's Way,Adios Audio - Topic,Make One's Way,Adios Audio
See Your Eyes,Jannabi - Topic,See Your Eyes,Jannabi
돌멩이,유리 (YURI) & 마시따밴드 - Topic,돌멩이,유리 (YURI) & 마시따밴드
Letters to you,Adios Audio - Topic,Letters to you,Adios Audio
Unbirthday,IT'S - Topic,Unbirthday,IT'S
이상비행,HANRORO - Topic,이상비행,HANRORO
To Find You,Kim Marie - Topic,To Find You,Kim Marie
A New World!,Kim Marie - Topic,A New World!,Kim Marie
Voyage,YdBB - Topic,Voyage,YdBB
Hi Bully,TOUCHED - Topic,Hi Bully,TOUCHED
첫 펭귄 The First Penguin,015B - Topic,첫 펭귄,015B
Proust,AHN YE EUN - Topic,Proust,AHN YE EUN
알루미늄,Broken Valentine - Topic,알루미늄,Broken Valentine
WET,Kim Mi Jeong - Topic,WET,Kim Mi Jeong
Ice Fortress,TOUCHED - Topic,Ice Fortress,TOUCHED
꽃다발 Bouquet of Flowers,Sujo - Topic,꽃다발,Sujo
Love me or Leave me,DAY6 - Topic,Love me or Leave me,DAY6
잔,O.O.O - Topic,잔,O.O.O
Romanticism,IT'S - Topic,Romanticism,IT'S
The Rose of Versailles,Nemesis - Topic,The Rose of Versailles,Nemesis
미로,The Electriceels - Topic,미로,The Electriceels
적도,The Electriceels - Topic,적도,The Electriceels
Isn’t That Good?,YdBB - Topic,Isn’t That Good?,YdBB
Paper Boat,Kim Mi Jeong - Topic,Paper Boat,Kim Mi Jeong
snowstorm,MRCH - Topic,snowstorm,MRCH
CASANOVA Band Version,HeMeets - Topic,CASANOVA Band Version,HeMeets
RIDE,ChRocktikal - Topic,RIDE,ChRocktikal
Moondance,TOUCHED - Topic,Moondance,TOUCHED
Vanishing Point (소실점),Yunmin - Topic,소실점,Yunmin
ノスタルジア,fuyuiri - Topic,ノスタルジア,fuyuiri
weather lore,kurayamisaka - Topic,weather lore,kurayamisaka
Odyssey,Hangronan - Topic,Odyssey,Hangronan
Violet,Release - Topic,Violet,Release
Butter-Fly (Butter-Fly),전영호 - Topic,Butter-Fly,전영호
늘 (늘),Loveholic - Topic,늘,Loveholic
Engine,Kim Seung Joo - Topic,Engine,Kim Seung Joo
assimilate,Zeokranun - Topic,assimilate,Zeokranun
アンドロメダ,KOHAKU - Topic,アンドロメダ,KOHAKU
No Limit,Younha - Topic,No Limit,Younha
Drowning (Drowning),WOODZ - Topic,Drowning,WOODZ
STAY WITH ME,Jaurim - Topic,STAY WITH ME,Jaurim
Syringe,Redoor - Topic,Syringe,Redoor
Asylum (LIA),ITZY - Topic,Asylum,ITZY
こんな日には,UNFAIR RULE - Topic,こんな日には,UNFAIR RULE
밤과 마음,O.O.O - Topic,밤과 마음,O.O.O
Blue,TOUCHED - Topic,Blue,TOUCHED
Lean,Tuesday Beach Club - Topic,Lean,Tuesday Beach Club
Wannabe,Macguffin - Topic,Wannabe,Macguffin
恋の終わり,yumeno. - Topic,恋の終わり,yumeno.
EIO,LUCY - Topic,EIO,LUCY
Happy Logic,UmYull - Topic,Happy Logic,UmYull
WISH,YdBB - Topic,WISH,YdBB
red moon,IT'S - Topic,red moon,IT'S
Please Don't Fall,Broken Valentine - Topic,Please Don't Fall,Broken Valentine
Wish You Never,Slowmove - Topic,Wish You Never,Slowmove
You're like saponin,YdBB - Topic,You're like saponin,YdBB
Say Something,Release - Topic,Say Something,Release
Run,Younha - Topic,Run,Younha
Turning Seasons,IT'S - Topic,Turning Seasons,IT'S
Some Day in the 21century,LUCY - Topic,Some Day in the 21century,LUCY
Fly (Fly),Younha - Topic,Fly,Younha
CALLING,YdBB - Topic,CALLING,YdBB
떠나고 싶을때,텐시러브 - Topic,떠나고 싶을때,텐시러브
How U doing (잘 지내),Younha - Topic,잘 지내,Younha
별이 떨어지는 날 그곳에서 만나자,DALDAM - Topic,별이 떨어지는 날 그곳에서 만나자,DALDAM
Hello Stranger,IT'S - Topic,Hello Stranger,IT'S
Starlight,FTISLAND - Topic,Starlight,FTISLAND
That Summer,SHAUN - Topic,That Summer,SHAUN
SALUD!,YdBB - Topic,SALUD!,YdBB
So What,LUCY - Topic,So What,LUCY
RESCUE,Woo Yerin - Topic,RESCUE,Woo Yerin
In The Rain,Kim Marie - Topic,In The Rain,Kim Marie
겨울춤,DALDAM - Topic,겨울춤,DALDAM
Dynamite,TOUCHED - Topic,Dynamite,TOUCHED
At That Moment (그때 그 순간 그대로 (그그그)),Release - Topic,그때 그 순간 그대로,Release
Tik-Tok (6년 230일),Younha - Topic,Tik-Tok,Younha
좋은 꿈 꿔 0224.mp3,BOL4 - Topic,좋은 꿈 꿔,BOL4
안지영 - 에피소드 (episode)  가사,Cha Ni KPop “차니”,에피소드,안지영
水仙,ninzin - Topic,水仙,ninzin
이렇게 시간은 또 가겠지만,Jehwwn - Topic,이렇게 시간은 또 가겠지만,Jehwwn
One-sided love (feat. Choi Yu Ree),JINYOUNG - Topic,One-sided love,JINYOUNG
"어지러운 밤 (Feat. punchnello, Young code)",Deepshower - Topic,어지러운 밤,Deepshower
붉은장미,Woo Yerin - Topic,붉은장미,Woo Yerin
alarm,Joob A - Topic,alarm,Joob A
Spring Memories (봄이 부시게 (Spring Memories)),N.Flying - Topic,봄이 부시게,N.Flying
Luna,Lips-Bite  - Topic,Luna,Lips-Bite 
낙화,Movning - Topic,낙화,Movning
소생 (feat.Raon),MEANSHOCK - Topic,소생,MEANSHOCK
Through the horizon(지평선을 달려서),Deok Kun Kim - Topic,지평선을 달려서,Deok Kun Kim
Into The Day,LUCY - Topic,Into The Day,LUCY
사랑하게 한 거야,YECHAN - Topic,사랑하게 한 거야,YECHAN
My Destiny Is You,Nam Woo-hyun - Topic,My Destiny Is You,Nam Woo-hyun
This is my love,Sukwon Yoon - Topic,This is my love,Sukwon Yoon
"Together, Forever (알고도 괜찮다면)",이민석 - Topic,알고도 괜찮다면,이민석
Today is the day (Good Day),YdBB - Topic,Today is the day (Good Day),YdBB
Prince,SORAN - Topic,Prince,SORAN
Sub Character,wizu - Topic,Sub Character,wizu
Violet,DORI - Topic,Violet,DORI
The fifth season(보고 싶은 계절이 하필 너라서),Azurever - Topic,보고 싶은 계절이 하필 너라서,Azurever
Dancing in the Moonlight,HeMeets - Topic,Dancing in the Moonlight,HeMeets
On a good day,그리드웨이 - Topic,On a good day,그리드웨이
Snooze,LUCY - Topic,Snooze,LUCY
Song of Don Quixote (돈키호테의 노래),FTISLAND - Topic,돈키호테의 노래,FTISLAND
Where am I,Ha Hyun Sang - Topic,Where am I,Ha Hyun Sang
ナツメグ,PURPLE BUBBLE - Topic,ナツメグ,PURPLE BUBBLE
함께 걷는 달,DALDAM - Topic,함께 걷는 달,DALDAM
88,Band Nah - Topic,88,Band Nah
Never-ending,Kim Marie - Topic,Never-ending,Kim Marie
Graduation (졸업),DALDAM - Topic,졸업,DALDAM
Haru Ni Mau,Ado - Topic,Haru Ni Mau,Ado
이 여름이 마지막인 것처럼 사랑을 하자,DALDAM - Topic,이 여름이 마지막인 것처럼 사랑을 하자,DALDAM
The love of a returning student,Jeongkwon Lee - Topic,The love of a returning student,Jeongkwon Lee
Best Part,DAY6 - Topic,Best Part,DAY6
개화,DALDAM - Topic,개화,DALDAM
꽃,M1NU - Topic,꽃,M1NU
Smoking Area (흡연구역),Kumira - Topic,흡연구역,Kumira
No Thanks,1/N - Topic,No Thanks,1/N
Nothing,YOUNITE - Topic,Nothing,YOUNITE
가을에게 (feat. 려진),고추잠자리 - Topic,가을에게,고추잠자리
It’ll Be Okay,Kkuek - Topic,It’ll Be Okay,Kkuek
With You,UmYull - Topic,With You,UmYull
Wave,CHANMIN - Topic,Wave,CHANMIN
Finale,ONSEEON - Topic,Finale,ONSEEON
Summer Thief,DALDAM - Topic,Summer Thief,DALDAM
Dizzy,KYUL - Topic,Dizzy,KYUL
WE!,DALDAM - Topic,WE!,DALDAM
Run To You (Run To You),LUCY - Topic,Run To You,LUCY
Slipper,Park Soeun - Topic,Slipper,Park Soeun
STOP Apologizing,JHWA - Topic,STOP Apologizing,JHWA
私だけ、春,BOL4 - Topic,私だけ、春,BOL4
Like The Milky Way,Anna Cha - Topic,Like The Milky Way,Anna Cha
Amor,Baek A - Topic,Amor,Baek A
Everyday With You,KyoungSeo - Topic,Everyday With You,KyoungSeo
ONCE,YdBB - Topic,ONCE,YdBB
DSMN (Don't Stop Me Now),Advanced - Topic,DSMN,Advanced
Silence (침묵),SURL - Topic,침묵,SURL
Lovers,Budung - Topic,Lovers,Budung
0308,Bosudong Cooler - Topic,0308,Bosudong Cooler
Shine,Band Nah - Topic,Shine,Band Nah
Raining stars (하늘엔 쏟아지는 많은 별들),Quinsha - Topic,하늘엔 쏟아지는 많은 별들,Quinsha
Nights,Band Nah - Topic,Nights,Band Nah
